(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       CO2      C2H2        H2         H       H2O       HCN        He       NH3        O2        NO        OH
1.107E+01   885.4  3.92E+08  1.23E-10  4.64E-04  4.68E-07  4.95E-20  8.37E-01  1.97E-08  3.39E-04  2.66E-13  1.62E-01  9.61E-11  5.10E-26  3.46E-20  8.62E-15
9.437E+00   880.8  3.94E+08  1.04E-10  4.64E-04  4.80E-07  3.72E-20  8.37E-01  1.83E-08  3.39E-04  2.27E-13  1.62E-01  8.52E-11  4.21E-26  2.95E-20  7.63E-15
8.047E+00   876.8  3.97E+08  8.72E-11  4.64E-04  4.91E-07  2.78E-20  8.37E-01  1.72E-08  3.39E-04  1.94E-13  1.62E-01  7.51E-11  3.63E-26  2.59E-20  6.92E-15
6.862E+00   873.1  3.99E+08  7.22E-11  4.64E-04  5.02E-07  2.08E-20  8.37E-01  1.64E-08  3.39E-04  1.66E-13  1.62E-01  6.61E-11  3.20E-26  2.30E-20  6.36E-15
5.852E+00   870.0  4.01E+08  5.86E-11  4.64E-04  5.10E-07  1.54E-20  8.37E-01  1.59E-08  3.39E-04  1.42E-13  1.62E-01  5.79E-11  2.94E-26  2.11E-20  5.99E-15
4.990E+00   867.4  4.04E+08  4.68E-11  4.64E-04  5.18E-07  1.14E-20  8.37E-01  1.57E-08  3.39E-04  1.21E-13  1.62E-01  5.05E-11  2.81E-26  1.99E-20  5.77E-15
4.255E+00   865.2  4.06E+08  3.68E-11  4.64E-04  5.25E-07  8.45E-21  8.37E-01  1.58E-08  3.39E-04  1.04E-13  1.62E-01  4.39E-11  2.77E-26  1.91E-20  5.65E-15
3.629E+00   863.6  4.08E+08  2.83E-11  4.64E-04  5.30E-07  6.22E-21  8.37E-01  1.61E-08  3.39E-04  8.85E-14  1.62E-01  3.80E-11  2.86E-26  1.90E-20  5.69E-15
3.094E+00   862.2  4.11E+08  2.17E-11  4.64E-04  5.34E-07  4.57E-21  8.37E-01  1.66E-08  3.39E-04  7.55E-14  1.62E-01  3.28E-11  3.00E-26  1.90E-20  5.78E-15
2.639E+00   861.3  4.13E+08  1.63E-11  4.64E-04  5.37E-07  3.35E-21  8.37E-01  1.74E-08  3.39E-04  6.44E-14  1.62E-01  2.82E-11  3.27E-26  1.96E-20  6.00E-15
2.250E+00   860.6  4.15E+08  1.21E-11  4.64E-04  5.39E-07  2.45E-21  8.37E-01  1.84E-08  3.39E-04  5.50E-14  1.62E-01  2.42E-11  3.63E-26  2.04E-20  6.29E-15
1.919E+00   860.5  4.17E+08  8.86E-12  4.64E-04  5.39E-07  1.78E-21  8.37E-01  1.98E-08  3.39E-04  4.69E-14  1.62E-01  2.06E-11  4.22E-26  2.20E-20  6.78E-15
1.636E+00   860.6  4.20E+08  6.42E-12  4.64E-04  5.39E-07  1.29E-21  8.37E-01  2.16E-08  3.39E-04  4.00E-14  1.62E-01  1.76E-11  4.99E-26  2.40E-20  7.38E-15
1.395E+00   861.2  4.22E+08  4.57E-12  4.64E-04  5.37E-07  9.36E-22  8.37E-01  2.39E-08  3.39E-04  3.41E-14  1.62E-01  1.49E-11  6.14E-26  2.68E-20  8.22E-15
1.190E+00   862.0  4.24E+08  3.23E-12  4.64E-04  5.35E-07  6.77E-22  8.37E-01  2.66E-08  3.39E-04  2.90E-14  1.62E-01  1.26E-11  7.67E-26  3.03E-20  9.23E-15
1.015E+00   863.3  4.27E+08  2.24E-12  4.64E-04  5.31E-07  4.88E-22  8.37E-01  3.02E-08  3.39E-04  2.47E-14  1.62E-01  1.06E-11  9.98E-26  3.53E-20  1.06E-14
8.652E-01   864.7  4.29E+08  1.55E-12  4.64E-04  5.26E-07  3.51E-22  8.37E-01  3.43E-08  3.39E-04  2.11E-14  1.62E-01  8.96E-12  1.31E-25  4.12E-20  1.22E-14
7.378E-01   866.7  4.31E+08  1.05E-12  4.64E-04  5.20E-07  2.51E-22  8.37E-01  3.99E-08  3.39E-04  1.79E-14  1.62E-01  7.51E-12  1.80E-25  4.98E-20  1.45E-14
6.291E-01   868.6  4.34E+08  7.12E-13  4.64E-04  5.15E-07  1.80E-22  8.37E-01  4.63E-08  3.39E-04  1.53E-14  1.62E-01  6.30E-12  2.45E-25  5.97E-20  1.71E-14
5.365E-01   871.6  4.36E+08  4.66E-13  4.64E-04  5.06E-07  1.28E-22  8.37E-01  5.57E-08  3.39E-04  1.30E-14  1.62E-01  5.24E-12  3.63E-25  7.60E-20  2.13E-14
4.575E-01   874.3  4.39E+08  3.08E-13  4.64E-04  4.98E-07  9.15E-23  8.37E-01  6.62E-08  3.39E-04  1.11E-14  1.62E-01  4.36E-12  5.26E-25  9.50E-20  2.60E-14
3.901E-01   878.7  4.41E+08  1.92E-13  4.64E-04  4.86E-07  6.45E-23  8.37E-01  8.36E-08  3.39E-04  9.42E-15  1.62E-01  3.58E-12  8.67E-25  1.30E-19  3.42E-14
3.327E-01   882.8  4.44E+08  1.21E-13  4.64E-04  4.75E-07  4.55E-23  8.37E-01  1.04E-07  3.39E-04  8.01E-15  1.62E-01  2.95E-12  1.39E-24  1.74E-19  4.44E-14
2.837E-01   889.0  4.46E+08  7.12E-14  4.64E-04  4.59E-07  3.17E-23  8.37E-01  1.39E-07  3.39E-04  6.80E-15  1.62E-01  2.39E-12  2.61E-24  2.61E-19  6.29E-14
2.419E-01   895.2  4.49E+08  4.20E-14  4.64E-04  4.44E-07  2.21E-23  8.37E-01  1.86E-07  3.39E-04  5.78E-15  1.62E-01  1.94E-12  4.87E-24  3.88E-19  8.89E-14
2.063E-01   904.1  4.51E+08  2.27E-14  4.64E-04  4.23E-07  1.51E-23  8.37E-01  2.69E-07  3.39E-04  4.90E-15  1.62E-01  1.54E-12  1.10E-23  6.57E-19  1.40E-13
1.759E-01   913.9  4.54E+08  1.20E-14  4.64E-04  4.02E-07  1.03E-23  8.37E-01  4.00E-07  3.39E-04  4.15E-15  1.62E-01  1.21E-12  2.61E-23  1.15E-18  2.28E-13
1.500E-01   926.7  4.57E+08  5.80E-15  4.64E-04  3.77E-07  6.88E-24  8.37E-01  6.49E-07  3.39E-04  3.51E-15  1.62E-01  9.36E-13  7.51E-23  2.31E-18  4.13E-13
1.279E-01   942.3  4.59E+08  2.60E-15  4.64E-04  3.50E-07  4.53E-24  8.37E-01  1.13E-06  3.39E-04  2.97E-15  1.62E-01  7.10E-13  2.55E-22  5.19E-18  8.23E-13
1.091E-01   960.5  4.62E+08  1.10E-15  4.64E-04  3.21E-07  2.94E-24  8.37E-01  2.10E-06  3.40E-04  2.51E-15  1.62E-01  5.30E-13  9.91E-22  1.27E-17  1.77E-12
9.302E-02   986.0  4.65E+08  3.87E-16  4.64E-04  2.87E-07  1.84E-24  8.37E-01  4.66E-06  3.40E-04  2.10E-15  1.62E-01  3.78E-13  5.78E-21  4.14E-17  4.82E-12
7.932E-02  1013.1  4.68E+08  1.35E-16  4.65E-04  2.56E-07  1.15E-24  8.37E-01  1.04E-05  3.40E-04  1.77E-15  1.62E-01  2.70E-13  3.42E-20  1.36E-16  1.32E-11
6.764E-02  1055.8  4.71E+08  3.33E-17  4.65E-04  2.17E-07  6.67E-25  8.37E-01  3.28E-05  3.40E-04  1.47E-15  1.62E-01  1.76E-13  4.34E-19  7.50E-16  5.60E-11
5.768E-02  1096.6  4.74E+08  9.31E-18  4.65E-04  1.88E-07  3.97E-25  8.37E-01  9.14E-05  3.40E-04  1.23E-15  1.62E-01  1.19E-13  4.18E-18  3.43E-15  2.03E-10
4.918E-02  1173.1  4.78E+08  1.34E-18  4.65E-04  1.48E-07  2.05E-25  8.36E-01  4.88E-04  3.40E-04  1.01E-15  1.62E-01  6.79E-14  1.72E-16  4.23E-14  1.69E-09
4.194E-02  1256.5  4.82E+08  2.09E-19  4.64E-04  1.19E-07  1.07E-25  8.35E-01  2.41E-03  3.39E-04  8.32E-16  1.62E-01  3.94E-14  5.99E-15  4.65E-13  1.27E-08
3.577E-02  1391.1  4.86E+08  1.76E-20  4.60E-04  8.85E-08  4.73E-26  8.18E-01  2.06E-02  3.36E-04  6.54E-16  1.61E-01  1.93E-14  7.30E-13  1.19E-11  1.94E-07
3.050E-02  1598.2  4.91E+08  4.50E-22  4.09E-04  6.47E-08  9.04E-27  6.16E-01  2.40E-01  2.92E-04  3.32E-16  1.43E-01  5.41E-15  3.11E-10  6.46E-10  5.18E-06
2.601E-02  1870.0  4.96E+08  2.79E-25  2.65E-04  1.24E-08  8.04E-28  4.81E-02  8.59E-01  9.18E-06  9.80E-17  9.26E-02  4.38E-17  1.42E-08  9.58E-09  1.44E-05
2.218E-02  2621.5  5.03E+08  2.09E-30  2.53E-04  5.97E-13  8.21E-24  1.05E-05  9.11E-01  1.61E-13  1.08E-14  8.83E-02  3.38E-23  1.16E-12  3.61E-10  3.64E-09
1.891E-02  3492.9  5.14E+08  3.70E-36  1.84E-06  2.04E-17  2.78E-26  4.63E-08  9.11E-01  4.24E-18  7.67E-18  8.83E-02  4.66E-29  1.54E-14  1.16E-12  4.09E-11
1.613E-02  4451.8  5.30E+08  6.89E-42  4.51E-10  8.67E-23  7.62E-32  1.28E-09  9.11E-01  2.29E-21  3.66E-22  8.83E-02  3.24E-33  2.90E-16  7.88E-15  1.19E-12
1.375E-02  5269.4  5.53E+08  3.27E-45  3.71E-12  6.83E-26  4.47E-35  1.55E-10  9.11E-01  2.79E-23  1.13E-24  8.83E-02  1.17E-35  2.86E-17  4.26E-16  1.47E-13
1.173E-02  5966.6  5.80E+08  2.13E-47  1.63E-13  6.43E-28  3.34E-37  3.84E-11  9.11E-01  1.50E-24  2.54E-26  8.83E-02  2.74E-37  6.16E-18  6.20E-17  3.67E-14
1.000E-02  6000.0  6.12E+08  9.37E-48  1.23E-13  3.89E-28  1.72E-37  3.10E-11  9.11E-01  9.75E-25  1.59E-26  8.83E-02  1.48E-37  4.95E-18  4.91E-17  2.97E-14
