wave,flux,error
1.166809034,4.75E-16,7.63E-18
1.166915106,4.75E-16,7.58E-18
1.167021178,4.76E-16,7.46E-18
1.167127251,4.75E-16,7.29E-18
1.167233323,4.74E-16,7.09E-18
1.167339395,4.72E-16,6.89E-18
1.167445467,4.70E-16,6.71E-18
1.167551539,4.68E-16,6.58E-18
1.167657611,4.65E-16,6.48E-18
1.167763683,4.62E-16,6.44E-18
1.167869755,4.59E-16,6.44E-18
1.167975827,4.56E-16,6.48E-18
1.168081899,4.52E-16,6.56E-18
1.168187971,4.48E-16,6.67E-18
1.168294043,4.44E-16,6.82E-18
1.168400115,4.39E-16,6.98E-18
1.168506187,4.33E-16,7.15E-18
1.168612259,4.26E-16,7.32E-18
1.168718332,4.19E-16,7.47E-18
1.168824404,4.11E-16,7.61E-18
1.168930476,4.03E-16,7.71E-18
1.169036548,3.96E-16,7.77E-18
1.16914262,3.88E-16,7.79E-18
1.169248692,3.82E-16,7.77E-18
1.169354764,3.76E-16,7.73E-18
1.169460836,3.73E-16,7.67E-18
1.169566908,3.72E-16,7.61E-18
1.16967298,3.73E-16,7.54E-18
1.169779052,3.77E-16,7.48E-18
1.169885124,3.82E-16,7.42E-18
1.169991196,3.90E-16,7.36E-18
1.170097268,3.99E-16,7.30E-18
1.17020334,4.09E-16,7.26E-18
1.170309413,4.18E-16,7.25E-18
1.170415485,4.27E-16,7.26E-18
1.170521557,4.36E-16,7.29E-18
1.170627629,4.42E-16,7.33E-18
1.170733701,4.47E-16,7.37E-18
1.170839773,4.51E-16,7.41E-18
1.170945845,4.53E-16,7.44E-18
1.171051917,4.53E-16,7.48E-18
1.171157989,4.53E-16,7.51E-18
1.171264061,4.51E-16,7.54E-18
1.171370133,4.50E-16,7.58E-18
1.171476205,4.48E-16,7.62E-18
1.171582277,4.46E-16,7.67E-18
1.171688349,4.44E-16,7.71E-18
1.171794422,4.43E-16,7.75E-18
1.171900494,4.43E-16,7.78E-18
1.172006566,4.43E-16,7.78E-18
1.172112638,4.44E-16,7.74E-18
1.17221871,4.45E-16,7.66E-18
1.172324782,4.46E-16,7.56E-18
1.172430854,4.48E-16,7.43E-18
1.172536926,4.50E-16,7.31E-18
1.172642998,4.53E-16,7.21E-18
1.17274907,4.55E-16,7.15E-18
1.172855142,4.56E-16,7.14E-18
1.172961214,4.57E-16,7.17E-18
1.173067286,4.58E-16,7.22E-18
1.173173358,4.58E-16,7.26E-18
1.17327943,4.58E-16,7.27E-18
1.173385503,4.57E-16,7.25E-18
1.173491575,4.55E-16,7.20E-18
1.173597647,4.53E-16,7.12E-18
1.173703719,4.51E-16,7.03E-18
1.173809791,4.49E-16,6.96E-18
1.173915863,4.46E-16,6.91E-18
1.174021935,4.44E-16,6.89E-18
1.174128007,4.42E-16,6.89E-18
1.174234079,4.40E-16,6.89E-18
1.174340151,4.38E-16,6.89E-18
1.174446223,4.36E-16,6.88E-18
1.174552295,4.34E-16,6.85E-18
1.174658367,4.31E-16,6.81E-18
1.174764439,4.28E-16,6.79E-18
1.174870511,4.24E-16,6.80E-18
1.174976584,4.20E-16,6.86E-18
1.175082656,4.15E-16,6.96E-18
1.175188728,4.11E-16,7.09E-18
1.1752948,4.06E-16,7.23E-18
1.175400872,4.03E-16,7.36E-18
1.175506944,4.00E-16,7.45E-18
1.175613016,3.98E-16,7.50E-18
1.175719088,3.97E-16,7.49E-18
1.17582516,3.98E-16,7.45E-18
1.175931232,3.99E-16,7.38E-18
1.176037304,4.01E-16,7.29E-18
1.176143376,4.03E-16,7.22E-18
1.176249448,4.05E-16,7.16E-18
1.17635552,4.06E-16,7.13E-18
1.176461593,4.06E-16,7.12E-18
1.176567665,4.06E-16,7.14E-18
1.176673737,4.03E-16,7.16E-18
1.176779809,4.00E-16,7.19E-18
1.176885881,3.94E-16,7.20E-18
1.176991953,3.87E-16,7.18E-18
1.177098025,3.79E-16,7.13E-18
1.177204097,3.70E-16,7.05E-18
1.177310169,3.61E-16,6.95E-18
1.177416241,3.53E-16,6.84E-18
1.177522313,3.47E-16,6.72E-18
1.177628385,3.43E-16,6.62E-18
1.177734457,3.42E-16,6.56E-18
1.177840529,3.44E-16,6.52E-18
1.177946601,3.49E-16,6.54E-18
1.178052674,3.56E-16,6.59E-18
1.178158746,3.66E-16,6.67E-18
1.178264818,3.77E-16,6.76E-18
1.17837089,3.88E-16,6.86E-18
1.178476962,4.00E-16,6.95E-18
1.178583034,4.10E-16,7.03E-18
1.178689106,4.20E-16,7.12E-18
1.178795178,4.27E-16,7.21E-18
1.17890125,4.33E-16,7.32E-18
1.179007322,4.38E-16,7.44E-18
1.179113394,4.40E-16,7.57E-18
1.179219466,4.41E-16,7.67E-18
1.179325538,4.41E-16,7.75E-18
1.17943161,4.40E-16,7.78E-18
1.179537682,4.38E-16,7.76E-18
1.179643755,4.36E-16,7.71E-18
1.179749827,4.34E-16,7.63E-18
1.179855899,4.32E-16,7.54E-18
1.179961971,4.31E-16,7.45E-18
1.180068043,4.30E-16,7.37E-18
1.180174115,4.30E-16,7.30E-18
1.180280187,4.30E-16,7.24E-18
1.180386259,4.32E-16,7.19E-18
1.180492331,4.33E-16,7.15E-18
1.180598403,4.35E-16,7.12E-18
1.180704475,4.36E-16,7.08E-18
1.180810547,4.37E-16,7.05E-18
1.180916619,4.38E-16,7.02E-18
1.181022691,4.38E-16,6.98E-18
1.181128764,4.37E-16,6.94E-18
1.181234836,4.35E-16,6.89E-18
1.181340908,4.33E-16,6.83E-18
1.18144698,4.30E-16,6.77E-18
1.181553052,4.26E-16,6.69E-18
1.181659124,4.22E-16,6.61E-18
1.181765196,4.19E-16,6.53E-18
1.181871268,4.15E-16,6.45E-18
1.18197734,4.12E-16,6.37E-18
1.182083412,4.09E-16,6.29E-18
1.182189484,4.06E-16,6.23E-18
1.182295556,4.05E-16,6.20E-18
1.182401628,4.03E-16,6.20E-18
1.1825077,4.03E-16,6.24E-18
1.182613772,4.02E-16,6.33E-18
1.182719845,4.02E-16,6.47E-18
1.182825917,4.03E-16,6.63E-18
1.182931989,4.03E-16,6.80E-18
1.183038061,4.04E-16,6.96E-18
1.183144133,4.04E-16,7.09E-18
1.183250205,4.05E-16,7.18E-18
1.183356277,4.05E-16,7.23E-18
1.183462349,4.06E-16,7.23E-18
1.183568421,4.06E-16,7.19E-18
1.183674493,4.05E-16,7.13E-18
1.183780565,4.05E-16,7.05E-18
1.183886637,4.04E-16,6.98E-18
1.183992709,4.03E-16,6.92E-18
1.184098781,4.02E-16,6.87E-18
1.184204853,4.01E-16,6.82E-18
1.184310926,4.00E-16,6.77E-18
1.184416998,3.99E-16,6.73E-18
1.18452307,3.98E-16,6.70E-18
1.184629142,3.96E-16,6.68E-18
1.184735214,3.95E-16,6.68E-18
1.184841286,3.93E-16,6.70E-18
1.184947358,3.91E-16,6.72E-18
1.18505343,3.90E-16,6.74E-18
1.185159502,3.89E-16,6.76E-18
1.185265574,3.88E-16,6.76E-18
1.185371646,3.89E-16,6.76E-18
1.185477718,3.90E-16,6.75E-18
1.18558379,3.91E-16,6.74E-18
1.185689862,3.94E-16,6.72E-18
1.185795935,3.97E-16,6.69E-18
1.185902007,4.00E-16,6.66E-18
1.186008079,4.03E-16,6.64E-18
1.186114151,4.05E-16,6.63E-18
1.186220223,4.07E-16,6.64E-18
1.186326295,4.08E-16,6.67E-18
1.186432367,4.09E-16,6.72E-18
1.186538439,4.09E-16,6.79E-18
1.186644511,4.09E-16,6.87E-18
1.186750583,4.08E-16,6.96E-18
1.186856655,4.08E-16,7.05E-18
1.186962727,4.07E-16,7.15E-18
1.187068799,4.07E-16,7.23E-18
1.187174871,4.07E-16,7.30E-18
1.187280943,4.07E-16,7.34E-18
1.187387016,4.08E-16,7.37E-18
1.187493088,4.09E-16,7.38E-18
1.18759916,4.10E-16,7.38E-18
1.187705232,4.11E-16,7.39E-18
1.187811304,4.11E-16,7.40E-18
1.187917376,4.11E-16,7.43E-18
1.188023448,4.10E-16,7.47E-18
1.18812952,4.09E-16,7.50E-18
1.188235592,4.07E-16,7.51E-18
1.188341664,4.05E-16,7.49E-18
1.188447736,4.03E-16,7.44E-18
1.188553808,4.02E-16,7.35E-18
1.18865988,4.01E-16,7.22E-18
1.188765952,4.01E-16,7.06E-18
1.188872024,4.02E-16,6.89E-18
1.188978097,4.03E-16,6.73E-18
1.189084169,4.05E-16,6.63E-18
1.189190241,4.08E-16,6.59E-18
1.189296313,4.11E-16,6.62E-18
1.189402385,4.14E-16,6.72E-18
1.189508457,4.17E-16,6.84E-18
1.189614529,4.20E-16,6.95E-18
1.189720601,4.22E-16,7.03E-18
1.189826673,4.24E-16,7.07E-18
1.189932745,4.25E-16,7.06E-18
1.190038817,4.26E-16,7.01E-18
1.190144889,4.27E-16,6.94E-18
1.190250961,4.27E-16,6.87E-18
1.190357033,4.27E-16,6.80E-18
1.190463106,4.27E-16,6.74E-18
1.190569178,4.27E-16,6.69E-18
1.19067525,4.26E-16,6.65E-18
1.190781322,4.25E-16,6.64E-18
1.190887394,4.23E-16,6.66E-18
1.190993466,4.21E-16,6.71E-18
1.191099538,4.19E-16,6.80E-18
1.19120561,4.17E-16,6.89E-18
1.191311682,4.15E-16,6.98E-18
1.191417754,4.12E-16,7.05E-18
1.191523826,4.11E-16,7.09E-18
1.191629898,4.09E-16,7.08E-18
1.19173597,4.08E-16,7.02E-18
1.191842042,4.08E-16,6.94E-18
1.191948114,4.09E-16,6.83E-18
1.192054187,4.10E-16,6.73E-18
1.192160259,4.12E-16,6.65E-18
1.192266331,4.15E-16,6.60E-18
1.192372403,4.18E-16,6.61E-18
1.192478475,4.21E-16,6.67E-18
1.192584547,4.24E-16,6.79E-18
1.192690619,4.28E-16,6.95E-18
1.192796691,4.31E-16,7.13E-18
1.192902763,4.34E-16,7.30E-18
1.193008835,4.36E-16,7.44E-18
1.193114907,4.38E-16,7.52E-18
1.193220979,4.39E-16,7.54E-18
1.193327051,4.39E-16,7.53E-18
1.193433123,4.38E-16,7.50E-18
1.193539195,4.36E-16,7.50E-18
1.193645268,4.34E-16,7.55E-18
1.19375134,4.31E-16,7.64E-18
1.193857412,4.27E-16,7.76E-18
1.193963484,4.23E-16,7.87E-18
1.194069556,4.18E-16,7.95E-18
1.194175628,4.14E-16,7.98E-18
1.1942817,4.10E-16,7.96E-18
1.194387772,4.05E-16,7.90E-18
1.194493844,4.01E-16,7.82E-18
1.194599916,3.97E-16,7.73E-18
1.194705988,3.94E-16,7.64E-18
1.19481206,3.91E-16,7.57E-18
1.194918132,3.88E-16,7.51E-18
1.195024204,3.86E-16,7.45E-18
1.195130277,3.84E-16,7.41E-18
1.195236349,3.83E-16,7.37E-18
1.195342421,3.83E-16,7.34E-18
1.195448493,3.82E-16,7.30E-18
1.195554565,3.83E-16,7.24E-18
1.195660637,3.84E-16,7.16E-18
1.195766709,3.84E-16,7.06E-18
1.195872781,3.85E-16,6.93E-18
1.195978853,3.86E-16,6.80E-18
1.196084925,3.88E-16,6.67E-18
1.196190997,3.89E-16,6.56E-18
1.196297069,3.90E-16,6.49E-18
1.196403141,3.91E-16,6.46E-18
1.196509213,3.93E-16,6.49E-18
1.196615285,3.95E-16,6.59E-18
1.196721358,3.96E-16,6.74E-18
1.19682743,3.97E-16,6.93E-18
1.196933502,3.98E-16,7.14E-18
1.197039574,3.99E-16,7.34E-18
1.197145646,3.99E-16,7.50E-18
1.197251718,3.99E-16,7.60E-18
1.19735779,3.98E-16,7.63E-18
1.197463862,3.98E-16,7.59E-18
1.197569934,3.98E-16,7.50E-18
