lower bin	upper bin	clr prior value
-21.42963347476949	-21.38832247765655	2.5966008290102994e-05
-21.38832247765655	-21.347011480543614	0.0
-21.347011480543614	-21.30570048343068	0.0
-21.30570048343068	-21.264389486317743	0.0
-21.264389486317743	-21.223078489204806	0.0
-21.223078489204806	-21.18176749209187	0.0
-21.18176749209187	-21.14045649497893	0.0
-21.14045649497893	-21.099145497865997	0.0
-21.099145497865997	-21.05783450075306	2.5966008290102994e-05
-21.05783450075306	-21.016523503640123	0.0
-21.016523503640123	-20.975212506527185	0.0
-20.975212506527185	-20.933901509414248	0.0
-20.933901509414248	-20.89259051230131	0.0
-20.89259051230131	-20.851279515188377	0.0
-20.851279515188377	-20.80996851807544	0.0
-20.80996851807544	-20.768657520962503	0.0
-20.768657520962503	-20.727346523849565	0.0
-20.727346523849565	-20.686035526736628	2.5966008290102994e-05
-20.686035526736628	-20.644724529623694	2.5966008290105227e-05
-20.644724529623694	-20.603413532510757	0.0
-20.603413532510757	-20.56210253539782	0.0
-20.56210253539782	-20.520791538284882	0.0
-20.520791538284882	-20.479480541171945	0.0
-20.479480541171945	-20.43816954405901	0.0
-20.43816954405901	-20.396858546946074	0.0
-20.396858546946074	-20.355547549833137	0.0
-20.355547549833137	-20.3142365527202	5.193201658020599e-05
-20.3142365527202	-20.272925555607262	5.193201658020599e-05
-20.272925555607262	-20.23161455849433	0.0
-20.23161455849433	-20.19030356138139	5.193201658020599e-05
-20.19030356138139	-20.148992564268454	0.0
-20.148992564268454	-20.107681567155517	2.5966008290102994e-05
-20.107681567155517	-20.06637057004258	5.193201658020599e-05
-20.06637057004258	-20.025059572929646	0.0
-20.025059572929646	-19.98374857581671	7.789802487030898e-05
-19.98374857581671	-19.94243757870377	2.5966008290102994e-05
-19.94243757870377	-19.901126581590834	0.0
-19.901126581590834	-19.859815584477897	0.0
-19.859815584477897	-19.818504587364963	2.5966008290105227e-05
-19.818504587364963	-19.777193590252026	7.789802487030898e-05
-19.777193590252026	-19.735882593139088	7.789802487030898e-05
-19.735882593139088	-19.69457159602615	5.193201658020599e-05
-19.69457159602615	-19.653260598913214	5.193201658020599e-05
-19.653260598913214	-19.611949601800276	5.193201658020599e-05
-19.611949601800276	-19.570638604687343	5.1932016580210454e-05
-19.570638604687343	-19.529327607574405	5.193201658020599e-05
-19.529327607574405	-19.488016610461468	7.789802487030898e-05
-19.488016610461468	-19.44670561334853	5.193201658020599e-05
-19.44670561334853	-19.405394616235597	0.00015579604974063136
-19.405394616235597	-19.36408361912266	0.0
-19.36408361912266	-19.322772622009722	7.789802487030898e-05
-19.322772622009722	-19.281461624896785	0.00018176205803072096
-19.281461624896785	-19.240150627783848	0.00015579604974061797
-19.240150627783848	-19.19883963067091	0.00031159209948123593
-19.19883963067091	-19.157528633557977	0.00012983004145052614
-19.157528633557977	-19.11621763644504	0.00012983004145051497
-19.11621763644504	-19.074906639332102	7.789802487030898e-05
-19.074906639332102	-19.033595642219165	0.00010386403316041198
-19.033595642219165	-18.992284645106228	7.789802487030898e-05
-18.992284645106228	-18.950973647993294	0.0003115920994812627
-18.950973647993294	-18.909662650880357	0.00020772806632082396
-18.909662650880357	-18.86835165376742	0.00031159209948123593
-18.86835165376742	-18.827040656654482	0.0004414221409317509
-18.827040656654482	-18.785729659541545	0.00015579604974061797
-18.785729659541545	-18.74441866242861	0.00023369407461094703
-18.74441866242861	-18.703107665315674	0.0004414221409317509
-18.703107665315674	-18.661796668202737	0.0002856260911911329
-18.661796668202737	-18.6204856710898	0.0004154561326416479
-18.6204856710898	-18.579174673976862	0.00031159209948123593
-18.579174673976862	-18.537863676863928	0.00033755810777136796
-18.537863676863928	-18.49655267975099	0.0004154561326416479
-18.49655267975099	-18.455241682638054	0.00031159209948123593
-18.455241682638054	-18.413930685525116	0.0006231841989624719
-18.413930685525116	-18.37261968841218	0.0007530142404129868
-18.37261968841218	-18.331308691299242	0.0004414221409317509
-18.331308691299242	-18.289997694186308	0.0005452861740922097
-18.289997694186308	-18.24868669707337	0.0006491502072525748
-18.24868669707337	-18.207375699960433	0.0005712521823822658
-18.207375699960433	-18.166064702847496	0.0003894901243515449
-18.166064702847496	-18.124753705734562	0.000804946256993262
-18.124753705734562	-18.083442708621625	0.0007270482321228838
-18.083442708621625	-18.042131711508688	0.0009347762984437078
-18.042131711508688	-18.00082071439575	0.0009088102901536048
-18.00082071439575	-17.959509717282813	0.0007010822238327809
-17.959509717282813	-17.918198720169876	0.0008568782735733988
-17.918198720169876	-17.876887723056942	0.0009347762984437881
-17.876887723056942	-17.835576725944005	0.0010905723481843257
-17.835576725944005	-17.794265728831068	0.0010386403316041198
-17.794265728831068	-17.75295473171813	0.0012463683979249437
