lower bin	upper bin	clr prior value
-21.39681254679556	-21.356392747454567	2.6975426355993477e-05
-21.356392747454567	-21.315972948113576	0.0
-21.315972948113576	-21.275553148772584	0.0
-21.275553148772584	-21.235133349431592	0.0
-21.235133349431592	-21.1947135500906	0.0
-21.1947135500906	-21.15429375074961	0.0
-21.15429375074961	-21.113873951408618	0.0
-21.113873951408618	-21.073454152067626	0.0
-21.073454152067626	-21.033034352726634	0.0
-21.033034352726634	-20.992614553385643	0.0
-20.992614553385643	-20.95219475404465	0.0
-20.95219475404465	-20.91177495470366	0.0
-20.91177495470366	-20.871355155362668	0.0
-20.871355155362668	-20.830935356021676	0.0
-20.830935356021676	-20.790515556680685	0.0
-20.790515556680685	-20.750095757339693	0.0
-20.750095757339693	-20.709675957998705	0.0
-20.709675957998705	-20.669256158657713	0.0
-20.669256158657713	-20.628836359316722	0.0
-20.628836359316722	-20.58841655997573	0.0
-20.58841655997573	-20.54799676063474	2.6975426355993477e-05
-20.54799676063474	-20.507576961293747	0.0
-20.507576961293747	-20.467157161952755	0.0
-20.467157161952755	-20.426737362611764	0.0
-20.426737362611764	-20.386317563270772	0.0
-20.386317563270772	-20.34589776392978	0.0
-20.34589776392978	-20.30547796458879	2.6975426355993477e-05
-20.30547796458879	-20.265058165247797	0.0
-20.265058165247797	-20.224638365906806	0.0
-20.224638365906806	-20.184218566565814	0.0
-20.184218566565814	-20.143798767224823	0.0
-20.143798767224823	-20.10337896788383	0.0
-20.10337896788383	-20.06295916854284	0.0
-20.06295916854284	-20.022539369201848	0.0
-20.022539369201848	-19.982119569860856	0.0
-19.982119569860856	-19.941699770519865	0.0
-19.941699770519865	-19.901279971178873	5.3950852711986955e-05
-19.901279971178873	-19.86086017183788	0.0
-19.86086017183788	-19.82044037249689	0.0
-19.82044037249689	-19.7800205731559	5.3950852711986955e-05
-19.7800205731559	-19.739600773814907	2.6975426355993477e-05
-19.739600773814907	-19.699180974473915	5.3950852711986955e-05
-19.699180974473915	-19.658761175132923	5.3950852711986955e-05
-19.658761175132923	-19.618341375791932	8.092627906798043e-05
-19.618341375791932	-19.57792157645094	8.092627906798043e-05
-19.57792157645094	-19.53750177710995	2.6975426355993477e-05
-19.53750177710995	-19.497081977768957	8.092627906798043e-05
-19.497081977768957	-19.45666217842797	2.697542635599585e-05
-19.45666217842797	-19.416242379086974	8.092627906797331e-05
-19.416242379086974	-19.375822579745986	5.39508527119917e-05
-19.375822579745986	-19.335402780404994	0.00010790170542397391
-19.335402780404994	-19.294982981064003	2.6975426355993477e-05
-19.294982981064003	-19.25456318172301	8.092627906798043e-05
-19.25456318172301	-19.21414338238202	0.00013487713177996738
-19.21414338238202	-19.173723583041028	0.00010790170542397391
-19.173723583041028	-19.133303783700036	0.00018882798449195435
-19.133303783700036	-19.092883984359045	0.00016185255813596085
-19.092883984359045	-19.052464185018053	0.00013487713177996738
-19.052464185018053	-19.01204438567706	0.00018882798449195435
-19.01204438567706	-18.97162458633607	2.6975426355993477e-05
-18.97162458633607	-18.931204786995078	0.00024277883720394132
-18.931204786995078	-18.890784987654087	0.00024277883720394132
-18.890784987654087	-18.850365188313095	0.00016185255813596085
-18.850365188313095	-18.809945388972103	0.00018882798449195435
-18.809945388972103	-18.76952558963111	0.00021580341084794782
-18.76952558963111	-18.72910579029012	0.00016185255813596085
-18.72910579029012	-18.68868599094913	0.0003506805426279152
-18.68868599094913	-18.648266191608137	0.00021580341084794782
-18.648266191608137	-18.607846392267145	0.00024277883720394132
-18.607846392267145	-18.567426592926154	0.0003237051162719217
-18.567426592926154	-18.527006793585162	0.0003776559689839087
-18.527006793585162	-18.48658699424417	0.0005395085271198695
-18.48658699424417	-18.44616719490318	0.00029672968991592823
-18.44616719490318	-18.405747395562187	0.00040463139533990217
-18.405747395562187	-18.365327596221196	0.00026975426355993476
-18.365327596221196	-18.324907796880204	0.00026975426355993476
-18.324907796880204	-18.284487997539213	0.0003506805426279152
-18.284487997539213	-18.24406819819822	0.00040463139533990217
-18.24406819819822	-18.203648398857233	0.0006743856588998962
-18.203648398857233	-18.163228599516238	0.0005664839534758133
-18.163228599516238	-18.12280880017525	0.000539508527119917
-18.12280880017525	-18.082389000834254	0.0006204348061877955
-18.082389000834254	-18.041969201493266	0.0004855576744079253
-18.041969201493266	-18.001549402152275	0.0007283365116118239
-18.001549402152275	-17.961129602811283	0.0006474102325438434
-17.961129602811283	-17.92070980347029	0.0009441399224597717
-17.92070980347029	-17.8802900041293	0.0008092627906798043
-17.8802900041293	-17.83987020478831	0.0006474102325438434
-17.83987020478831	-17.799450405447317	0.0009171644961037783
-17.799450405447317	-17.759030606106325	0.0006474102325438434
-17.759030606106325	-17.718610806765334	0.0009980907751717587
-17.718610806765334	-17.678191007424342	0.0011599433333077194
