lower bin	upper bin	clr prior value
-19.99275680340145	-19.953642102879638	3.0180813965426032e-05
-19.953642102879638	-19.914527402357823	3.018081396542329e-05
-19.914527402357823	-19.875412701836012	3.0180813965426032e-05
-19.875412701836012	-19.836298001314198	0.0
-19.836298001314198	-19.797183300792387	0.0
-19.797183300792387	-19.758068600270573	0.0
-19.758068600270573	-19.71895389974876	3.0180813965426032e-05
-19.71895389974876	-19.679839199226947	0.0
-19.679839199226947	-19.640724498705136	0.0
-19.640724498705136	-19.601609798183322	3.018081396542329e-05
-19.601609798183322	-19.56249509766151	0.0
-19.56249509766151	-19.523380397139697	6.036162793084658e-05
-19.523380397139697	-19.484265696617886	3.0180813965426032e-05
-19.484265696617886	-19.44515099609607	3.018081396542329e-05
-19.44515099609607	-19.40603629557426	0.0
-19.40603629557426	-19.366921595052446	0.0
-19.366921595052446	-19.327806894530635	6.0361627930852064e-05
-19.327806894530635	-19.28869219400882	3.018081396542329e-05
-19.28869219400882	-19.24957749348701	6.0361627930852064e-05
-19.24957749348701	-19.210462792965195	0.0
-19.210462792965195	-19.171348092443385	0.0
-19.171348092443385	-19.13223339192157	3.018081396542329e-05
-19.13223339192157	-19.09311869139976	3.0180813965426032e-05
-19.09311869139976	-19.054003990877945	6.036162793084658e-05
-19.054003990877945	-19.014889290356134	3.0180813965426032e-05
-19.014889290356134	-18.97577458983432	3.018081396542329e-05
-18.97577458983432	-18.93665988931251	6.0361627930852064e-05
-18.93665988931251	-18.897545188790694	9.054244189626986e-05
-18.897545188790694	-18.858430488268883	3.0180813965426032e-05
-18.858430488268883	-18.81931578774707	6.036162793084658e-05
-18.81931578774707	-18.780201087225258	0.00012072325586170413
-18.780201087225258	-18.741086386703444	3.018081396542329e-05
-18.741086386703444	-18.701971686181633	6.0361627930852064e-05
-18.701971686181633	-18.66285698565982	9.054244189626986e-05
-18.66285698565982	-18.623742285138007	3.0180813965426032e-05
-18.623742285138007	-18.584627584616193	0.00018108488379253972
-18.584627584616193	-18.545512884094382	9.054244189627809e-05
-18.545512884094382	-18.506398183572568	3.018081396542329e-05
-18.506398183572568	-18.467283483050757	6.0361627930852064e-05
-18.467283483050757	-18.428168782528942	9.054244189626986e-05
-18.428168782528942	-18.38905408200713	0.00021126569775798223
-18.38905408200713	-18.349939381485317	6.036162793084658e-05
-18.349939381485317	-18.310824680963506	0.00018108488379255618
-18.310824680963506	-18.271709980441692	0.00018108488379253972
