	c0	c1	c2	c3	c4	c5
Metal-rich	0.663002648713283	2.8906639431780877e-06				
Feldspathic	0.6904621830656666	-0.0006408473373620922	1.4708410241488556e-06	-1.5278642613094882e-09	5.507949391522463e-13	
Ultramafic	0.3634617529881968	0.0027096277749187893	-9.399184189874908e-06	1.5656691171892935e-08	-1.2456486840660791e-11	3.752595571266565e-15
Basaltic	0.6648320866276594	-6.842739986931621e-07				
Granitoid	0.6842455677906204	-0.00045080337034978345	8.054071435559358e-07	-6.675463043841324e-10	1.7725332756775078e-13	
Fe-oxidized	0.6636742385588205	1.5411948348866737e-06				
Ice-rich silicate	0.6641438747482443	1.5377596185271424e-05	-9.771904522890873e-08	6.637743103482498e-11		
Clay	0.5047777438525808	-4.925171465731672e-06				
