Temperature [K]	Metal-rich	Ultramafic	Feldspathic	Basaltic	Granitoid	Clay	Ice-rich silicate	Fe-oxidized	
114.104461	2.031821e+00	1.932791e+00	2.029024e+00	2.196136e+00	1.656635e+00	2.075642e+00	2.284287e+00	2.003556e+00	
114.447143	2.073293e+00	1.972334e+00	2.070117e+00	2.240699e+00	1.690978e+00	2.118081e+00	2.330508e+00	2.044376e+00	
114.790854	2.115528e+00	2.012606e+00	2.111960e+00	2.286076e+00	1.725967e+00	2.161304e+00	2.377571e+00	2.085948e+00	
115.135598	2.158537e+00	2.053619e+00	2.154564e+00	2.332282e+00	1.761612e+00	2.205323e+00	2.425490e+00	2.128285e+00	
115.481376	2.202335e+00	2.095385e+00	2.197943e+00	2.379328e+00	1.797925e+00	2.250152e+00	2.474278e+00	2.171399e+00	
115.828194	2.246933e+00	2.137917e+00	2.242108e+00	2.427230e+00	1.834916e+00	2.295803e+00	2.523949e+00	2.215303e+00	
116.176053	2.292345e+00	2.181227e+00	2.287072e+00	2.476000e+00	1.872597e+00	2.342290e+00	2.574517e+00	2.260009e+00	
116.524956	2.338583e+00	2.225327e+00	2.332849e+00	2.525653e+00	1.910979e+00	2.389627e+00	2.625998e+00	2.305531e+00	
116.874908	2.385662e+00	2.270231e+00	2.379451e+00	2.576203e+00	1.950075e+00	2.437827e+00	2.678406e+00	2.351882e+00	
117.225910	2.433594e+00	2.315951e+00	2.426892e+00	2.627665e+00	1.989896e+00	2.486906e+00	2.731754e+00	2.399076e+00	
117.577967	2.482394e+00	2.362501e+00	2.475185e+00	2.680052e+00	2.030454e+00	2.536876e+00	2.786060e+00	2.447126e+00	
117.931081	2.532076e+00	2.409894e+00	2.524343e+00	2.733380e+00	2.071761e+00	2.587752e+00	2.841337e+00	2.496046e+00	
118.285255	2.582653e+00	2.458143e+00	2.574381e+00	2.787664e+00	2.113829e+00	2.639550e+00	2.897601e+00	2.545851e+00	
118.640493	2.634141e+00	2.507264e+00	2.625312e+00	2.842919e+00	2.156672e+00	2.692283e+00	2.954869e+00	2.596555e+00	
118.996798	2.686553e+00	2.557268e+00	2.677151e+00	2.899161e+00	2.200302e+00	2.745968e+00	3.013155e+00	2.648172e+00	
119.354173	2.739904e+00	2.608171e+00	2.729912e+00	2.956405e+00	2.244732e+00	2.800619e+00	3.072476e+00	2.700717e+00	
119.712621	2.794210e+00	2.659987e+00	2.783609e+00	3.014668e+00	2.289975e+00	2.856252e+00	3.132849e+00	2.754204e+00	
120.072146	2.849486e+00	2.712730e+00	2.838259e+00	3.073964e+00	2.336045e+00	2.912882e+00	3.194289e+00	2.808650e+00	
120.432750	2.905746e+00	2.766416e+00	2.893874e+00	3.134312e+00	2.382954e+00	2.970527e+00	3.256815e+00	2.864070e+00	
120.794438	2.963008e+00	2.821059e+00	2.950472e+00	3.195727e+00	2.430717e+00	3.029201e+00	3.320442e+00	2.920479e+00	
121.157211	3.021286e+00	2.876675e+00	3.008067e+00	3.258226e+00	2.479347e+00	3.088921e+00	3.385188e+00	2.977892e+00	
121.521075	3.080597e+00	2.933278e+00	3.066674e+00	3.321826e+00	2.528859e+00	3.149704e+00	3.451071e+00	3.036327e+00	
121.886031	3.140957e+00	2.990885e+00	3.126311e+00	3.386544e+00	2.579267e+00	3.211567e+00	3.518108e+00	3.095799e+00	
122.252083	3.202382e+00	3.049511e+00	3.186992e+00	3.452399e+00	2.630586e+00	3.274528e+00	3.586318e+00	3.156324e+00	
122.619234	3.264889e+00	3.109173e+00	3.248734e+00	3.519408e+00	2.682830e+00	3.338602e+00	3.655719e+00	3.217920e+00	
