Wavelength	Metal-rich	Ultramafic	Feldspathic	Basaltic	Granitoid	Clay	Ice-rich silicate	Fe-oxidized
3.000000000000001e-07	0.04041302000000002	0.14301570000000005	0.3146426000000002	0.08539959000000026	0.36786770000000035	0.2025172000000002	0.20762050000000024	0.10478630000000012
3.002995104202231e-07	0.040475420620873497	0.14318518109109	0.31528182395773313	0.08615776135646094	0.3687864169262527	0.2030384499566568	0.2082111101464531	0.10513858472146503
3.005993198620855e-07	0.040537883540534246	0.14335483138668934	0.31592168609625343	0.08691668964699363	0.3697060510701473	0.20356022031262533	0.20880230993921658	0.10549122115274655
3.0089942862412097e-07	0.04060040882117938	0.14352465105572637	0.31656218705270034	0.08767637562729694	0.3706266033474048	0.20408251158745572	0.20939409996697453	0.1058442096449804
3.0119983700516056e-07	0.040662996525067975	0.14369464026729786	0.3172033274648479	0.08843682005382264	0.37154807467465834	0.2046053243012157	0.20998648081899757	0.10619755054965233
3.015005453043356e-07	0.04072564671452168	0.14386479919067036	0.3178451079711111	0.08919802368378248	0.37247046596946204	0.20512865897449545	0.21057945308514828	0.10655124421860114
3.018015538210742e-07	0.04078835945192397	0.14403512799527834	0.318487529210538	0.08995998727513928	0.37339377815028013	0.20565251612840157	0.2111730173558744	0.1069052910040147
3.0210286285510384e-07	0.040851134799720676	0.14420562685072577	0.31913059182281617	0.09072271158661413	0.37431801213649574	0.206176896284562	0.2117671742222143	0.10725969125843314
3.024044727064515e-07	0.04091397282042005	0.14437629592678602	0.31977429644827177	0.09148619737768582	0.37524316884840997	0.20670179996512553	0.2123619242757966	0.10761444533474869
3.027063836754436e-07	0.04097681614282828	0.14454705848628746	0.32042073002061966	0.09225108797056338	0.3761743950771643	0.20722806497114746	0.21295847599083675	0.1079695243868455
3.030085960627057e-07	0.041039291911771796	0.144717415340947	0.321083439493871	0.09302155628530984	0.3771451039118057	0.20776112827982576	0.21356467274581098	0.10832473917668303
3.0331111016916543e-07	0.041101830054528145	0.1448879422744507	0.3217468105950998	0.0937927938110203	0.37811678187115244	0.20829472378189046	0.2141714747082692	0.10868030860162456
3.03613926296049e-07	0.041164430633369206	0.1450586394565994	0.32241084398485287	0.09456480131564876	0.3790894299227455	0.2088288520086653	0.21477888248242993	0.10903623301572565
3.039170447448839e-07	0.04122709371062919	0.14522950705736395	0.32307554032433794	0.09533757956791766	0.38006304903509414	0.20936351349200566	0.21538689667311628	0.10939251277339622
3.042204658174988e-07	0.041289819348704515	0.1454005452468849	0.3237409002754229	0.09611112933731686	0.3810376401776744	0.20989870876429792	0.2159955178857552	0.10974914822939992
3.0452418981602363e-07	0.04135260761005391	0.14557175419547255	0.32440692450063646	0.09688545139410447	0.3820132043209303	0.2104344383584599	0.21660474672637803	0.11010613973885465
3.0482821704288983e-07	0.041415458557198435	0.1457431340736073	0.3250736136631685	0.09766054650930733	0.38298974243627437	0.21097070280794136	0.21721458380162098	0.11046348765723268
3.051325478008303e-07	0.04147837225272147	0.14591468505193947	0.3257409684268699	0.0984364154547208	0.38396725549608735	0.21150750264672377	0.2178250297187249	0.11082119234036064
3.0543718239288216e-07	0.04156787881735816	0.1460850263774387	0.3264110168620538	0.09921817213344468	0.3849304654397301	0.2121403027006612	0.2184387550441494	0.11118380801422288
3.0574212112238287e-07	0.04174377774210929	0.14625104558347637	0.32708832945832284	0.10001734244557568	0.3858449339087952	0.21308428245484792	0.21906177854122094	0.11156159957415496
3.0604736429297365e-07	0.04191985227873	0.14641723053778793	0.3277663182618597	0.10081731062382679	0.38676031535397853	0.21402920464827757	0.21968542404505725	0.11193976830911662
3.0635291220859877e-07	0.042096102602545565	0.14658358140585118	0.32844498394776817	0.10161807746476208	0.38767661068676634	0.21497507022185142	0.22030969217665006	0.1123183145956674
3.0665876517350585e-07	0.04227252888905626	0.14675009835330904	0.3291243271918257	0.10241964376574064	0.3885938208195545	0.2159218801174098	0.2209345835576108	0.11269723881074263
3.0696492349224585e-07	0.042449131313937336	0.14691678154596963	0.32980434867048375	0.10322201032491653	0.38951194666564865	0.21686963527773204	0.22156009881017075	0.11307654133165347
3.0727138746967545e-07	0.04262591005304039	0.14708363114980746	0.3304850490608725	0.10402517794124502	0.3904309891392712	0.21781833664654396	0.22218623855718575	0.11345622253608982
3.075781574109539e-07	0.04280286528239154	0.14725064733096183	0.33116642904079446	0.10482914741447437	0.39135094915555196	0.2187679851685079	0.22281300342212984	0.11383628280211643
3.0788523362154585e-07	0.04297999717819308	0.14741783025573824	0.3318484892887303	0.10563391954515315	0.3922718276305365	0.21971858178923168	0.22344039402910104	0.11421672250817642
3.0819261640722064e-07	0.04311561131718338	0.14761428441740337	0.33252330770734395	0.10642460667724443	0.39314794982214357	0.22049248804214971	0.2240588545611926	0.11460107583438134
3.085003060740531e-07	0.04317487534448793	0.14786432433952781	0.33318426612502305	0.10718877148747344	0.3939411582574065	0.22094130123270803	0.22466040199463863	0.11499229537066236
3.0880830292842366e-07	0.0432341985391049	0.14811461389352612	0.33384588442248037	0.10795369921544731	0.39473515860664204	0.22139056250402409	0.22526254999383333	0.11538390548803579
3.0911660727701787e-07	0.04329358096010492	0.14836515332862224	0.33450816325851734	0.10871939062283718	0.3955299516604702	0.22184027230344647	0.22586529915836107	0.11577590657644451
3.0942521942682933e-07	0.04335302266661793	0.14861594289429045	0.3351711032925972	0.1094858464720791	0.39632553821030503	0.22229043107877305	0.2264686500884085	0.11616829902622303
